岗位类型,专业类,关联度
保安,历史学类,0.4
保安,档案学类,0.4
保安,法律类,0.4
销售代表,计算机与信息科学类,0.4
保安,政治学类,0.4
保安,经济管理类,0.6
保安,工商管理类,0.4
保安,社会学类,0.4
保安,财会、税务、审计与统计类,0.4
保安,环境与安全类,0.4
保安,建筑类,0.4
保安,海洋与渔业类,0.4
保安,生物类,0.4
保安,动物生产类,0.4
保安,植物生产类,0.4
保安,林业类,0.4
保安,农林业工程类,0.4
保安,水电类,0.4
保安,交通运输类,0.4
保安,艺术类,0.4
保安,公安类,0.8
保安,地质及测绘类,0.4
保安,药学类,0.4
保安,理化类,0.4
保安,轻工纺织品食品类,0.4
保安,大气科学类,0.4
保安,心理学类,0.4
保安,材料类,0.4
保安,机械与仪表类,0.4
保安,体育学类,0.7
保安,非汉语言文学类,0.6
保洁,文秘类,0.4
保洁,哲学、马克思主义理论类,0.4
保洁,教育学类,0.4
保洁,新闻传播学类,0.4
保洁,历史学类,0.4
保洁,档案学类,0.4
保洁,法律类,0.4
大客户销售,计算机与信息科学类,0.4
保洁,政治学类,0.4
保洁,经济管理类,0.4
保洁,工商管理类,0.4
保洁,社会学类,0.4
保洁,财会、税务、审计与统计类,0.4
保洁,环境与安全类,0.6
保洁,建筑类,0.4
保洁,海洋与渔业类,0.4
保洁,生物类,0.4
保洁,动物生产类,0.4
保洁,植物生产类,0.4
保洁,林业类,0.4
保洁,农林业工程类,0.4
保洁,水电类,0.4
保洁,交通运输类,0.4
保洁,艺术类,0.4
保洁,公安类,0.7
保洁,地质及测绘类,0.4
保洁,药学类,0.4
保洁,理化类,0.4
保洁,轻工纺织品食品类,0.4
保洁,大气科学类,0.4
保洁,心理学类,0.4
保洁,材料类,0.4
保洁,机械与仪表类,0.4
保洁,体育学类,0.6
保洁,非汉语言文学类,0.4
司机,文秘类,0.4
司机,哲学、马克思主义理论类,0.4
司机,教育学类,0.4
司机,新闻传播学类,0.4
司机,历史学类,0.4
司机,档案学类,0.4
司机,法律类,0.4
电话销售,计算机与信息科学类,0.4
司机,政治学类,0.4
司机,经济管理类,0.4
司机,工商管理类,0.4
司机,社会学类,0.4
司机,财会、税务、审计与统计类,0.4
司机,环境与安全类,0.4
司机,建筑类,0.4
司机,海洋与渔业类,0.4
司机,生物类,0.4
司机,动物生产类,0.4
司机,植物生产类,0.4
司机,林业类,0.4
司机,农林业工程类,0.4
司机,水电类,0.4
司机,交通运输类,0.8
司机,艺术类,0.4
司机,公安类,0.6
司机,地质及测绘类,0.4
司机,药学类,0.4
司机,理化类,0.4
司机,轻工纺织品食品类,0.4
司机,大气科学类,0.4
司机,心理学类,0.4
司机,材料类,0.4
司机,机械与仪表类,0.4
司机,体育学类,0.6
司机,非汉语言文学类,0.4
市场策划,文秘类,0.4
市场策划,哲学、马克思主义理论类,0.4
市场策划,教育学类,0.4
市场策划,新闻传播学类,0.6
市场策划,历史学类,0.4
市场策划,档案学类,0.4
市场策划,法律类,0.4
商品经理,计算机与信息科学类,0.4
市场策划,政治学类,0.4
市场策划,经济管理类,0.7
市场策划,工商管理类,0.7
市场策划,社会学类,0.4
市场策划,财会、税务、审计与统计类,0.4
市场策划,环境与安全类,0.4
市场策划,建筑类,0.4
市场策划,海洋与渔业类,0.4
市场策划,生物类,0.4
市场策划,动物生产类,0.4
市场策划,植物生产类,0.4
市场策划,林业类,0.4
市场策划,农林业工程类,0.4
市场策划,水电类,0.4
市场策划,交通运输类,0.4
市场策划,艺术类,0.4
市场策划,公安类,0.4
市场策划,地质及测绘类,0.4
市场策划,药学类,0.4
市场策划,理化类,0.4
市场策划,轻工纺织品食品类,0.4
市场策划,大气科学类,0.3
市场策划,心理学类,0.4
市场策划,材料类,0.4
市场策划,机械与仪表类,0.4
市场策划,体育学类,0.4
市场策划,非汉语言文学类,0.4
市场顾问,文秘类,0.4
市场顾问,哲学、马克思主义理论类,0.4
市场顾问,教育学类,0.4
市场顾问,新闻传播学类,0.4
市场顾问,历史学类,0.4
市场顾问,档案学类,0.4
市场顾问,法律类,0.4
广告销售,计算机与信息科学类,0.4
市场顾问,政治学类,0.4
市场顾问,经济管理类,0.8
市场顾问,工商管理类,0.7
市场顾问,社会学类,0.6
市场顾问,财会、税务、审计与统计类,0.6
市场顾问,环境与安全类,0.4
市场顾问,建筑类,0.4
市场顾问,海洋与渔业类,0.4
市场顾问,生物类,0.4
市场顾问,动物生产类,0.4
市场顾问,植物生产类,0.4
市场顾问,林业类,0.4
市场顾问,农林业工程类,0.4
市场顾问,水电类,0.4
市场顾问,交通运输类,0.4
市场顾问,艺术类,0.4
市场顾问,公安类,0.4
市场顾问,地质及测绘类,0.4
市场顾问,药学类,0.4
市场顾问,理化类,0.4
市场顾问,轻工纺织品食品类,0.4
市场顾问,大气科学类,0.4
市场顾问,心理学类,0.4
市场顾问,材料类,0.4
市场顾问,机械与仪表类,0.4
市场顾问,体育学类,0.4
市场顾问,非汉语言文学类,0.4
市场推广,文秘类,0.4
市场推广,哲学、马克思主义理论类,0.4
市场推广,教育学类,0.4
市场推广,新闻传播学类,0.4
市场推广,历史学类,0.4
市场推广,档案学类,0.4
市场推广,法律类,0.4
销售总监,计算机与信息科学类,0.4
市场推广,政治学类,0.4
市场推广,经济管理类,0.6
市场推广,工商管理类,0.8
市场推广,社会学类,0.4
市场推广,财会、税务、审计与统计类,0.6
市场推广,环境与安全类,0.4
市场推广,建筑类,0.4
市场推广,海洋与渔业类,0.4
市场推广,生物类,0.4
市场推广,动物生产类,0.4
市场推广,植物生产类,0.4
市场推广,林业类,0.4
市场推广,农林业工程类,0.4
市场推广,水电类,0.4
市场推广,交通运输类,0.4
市场推广,艺术类,0.6
市场推广,公安类,0.4
市场推广,地质及测绘类,0.4
市场推广,药学类,0.4
市场推广,理化类,0.4
市场推广,轻工纺织品食品类,0.4
市场推广,大气科学类,0.4
市场推广,心理学类,0.4
市场推广,材料类,0.4
市场推广,机械与仪表类,0.4
市场推广,体育学类,0.4
市场推广,非汉语言文学类,0.4
sem,文秘类,0.6
sem,哲学、马克思主义理论类,0.4
sem,教育学类,0.4
sem,新闻传播学类,0.6
sem,历史学类,0.4
sem,档案学类,0.4
sem,法律类,0.4
市场营销,计算机与信息科学类,0.4
sem,政治学类,0.4
sem,经济管理类,0.4
sem,工商管理类,0.4
sem,社会学类,0.6
sem,财会、税务、审计与统计类,0.4
sem,环境与安全类,0.4
sem,建筑类,0.4
sem,海洋与渔业类,0.4
sem,生物类,0.4
sem,动物生产类,0.4
sem,植物生产类,0.4
sem,林业类,0.4
sem,农林业工程类,0.4
sem,水电类,0.4
sem,交通运输类,0.4
sem,艺术类,0.4
sem,公安类,0.4
sem,地质及测绘类,0.4
sem,药学类,0.4
sem,理化类,0.4
sem,轻工纺织品食品类,0.4
sem,大气科学类,0.4
sem,心理学类,0.4
sem,材料类,0.4
sem,机械与仪表类,0.4
sem,体育学类,0.4
sem,非汉语言文学类,0.4
网络营销,文秘类,0.4
网络营销,哲学、马克思主义理论类,0.4
网络营销,教育学类,0.4
网络营销,新闻传播学类,0.9
网络营销,历史学类,0.4
网络营销,档案学类,0.4
网络营销,法律类,0.4
市场总监,计算机与信息科学类,0.4
网络营销,政治学类,0.4
网络营销,经济管理类,0.4
网络营销,工商管理类,0.4
网络营销,社会学类,0.6
网络营销,财会、税务、审计与统计类,0.4
网络营销,环境与安全类,0.4
网络营销,建筑类,0.4
网络营销,海洋与渔业类,0.4
网络营销,生物类,0.4
网络营销,动物生产类,0.4
网络营销,植物生产类,0.4
网络营销,林业类,0.4
网络营销,农林业工程类,0.4
网络营销,水电类,0.4
网络营销,交通运输类,0.4
网络营销,艺术类,0.7
网络营销,公安类,0.4
网络营销,地质及测绘类,0.4
网络营销,药学类,0.4
网络营销,理化类,0.4
网络营销,轻工纺织品食品类,0.4
网络营销,大气科学类,0.4
网络营销,心理学类,0.4
网络营销,材料类,0.4
网络营销,机械与仪表类,0.4
网络营销,体育学类,0.4
网络营销,非汉语言文学类,0.4
活动策划,文秘类,0.4
活动策划,哲学、马克思主义理论类,0.4
活动策划,教育学类,0.4
活动策划,新闻传播学类,0.6
活动策划,历史学类,0.4
活动策划,档案学类,0.4
活动策划,法律类,0.4
品牌经理,计算机与信息科学类,0.4
活动策划,政治学类,0.4
活动策划,经济管理类,0.4
活动策划,工商管理类,0.4
活动策划,社会学类,0.4
活动策划,财会、税务、审计与统计类,0.4
活动策划,环境与安全类,0.4
活动策划,建筑类,0.4
活动策划,海洋与渔业类,0.4
活动策划,生物类,0.4
活动策划,动物生产类,0.4
活动策划,植物生产类,0.4
活动策划,林业类,0.4
活动策划,农林业工程类,0.4
活动策划,水电类,0.4
活动策划,交通运输类,0.4
活动策划,艺术类,0.6
活动策划,公安类,0.4
活动策划,地质及测绘类,0.4
活动策划,药学类,0.4
活动策划,理化类,0.4
活动策划,轻工纺织品食品类,0.4
活动策划,大气科学类,0.4
活动策划,心理学类,0.4
活动策划,材料类,0.4
活动策划,机械与仪表类,0.4
活动策划,体育学类,0.4
活动策划,非汉语言文学类,0.4
销售经理,文秘类,0.4
销售经理,哲学、马克思主义理论类,0.4
销售经理,教育学类,0.4
销售经理,新闻传播学类,0.4
销售经理,历史学类,0.4
销售经理,档案学类,0.4
销售经理,法律类,0.4
商务渠道,计算机与信息科学类,0.4
销售经理,政治学类,0.4
销售经理,经济管理类,0.6
销售经理,工商管理类,0.8
销售经理,社会学类,0.4
销售经理,财会、税务、审计与统计类,0.7
销售经理,环境与安全类,0.4
销售经理,建筑类,0.4
销售经理,海洋与渔业类,0.4
销售经理,生物类,0.4
销售经理,动物生产类,0.4
销售经理,植物生产类,0.4
销售经理,林业类,0.4
销售经理,农林业工程类,0.4
销售经理,水电类,0.4
销售经理,交通运输类,0.4
销售经理,艺术类,0.4
销售经理,公安类,0.4
销售经理,地质及测绘类,0.4
销售经理,药学类,0.4
销售经理,理化类,0.4
销售经理,轻工纺织品食品类,0.4
销售经理,大气科学类,0.4
销售经理,心理学类,0.4
销售经理,材料类,0.4
销售经理,机械与仪表类,0.4
销售经理,体育学类,0.4
销售经理,非汉语言文学类,0.4
销售代表,文秘类,0.4
销售代表,哲学、马克思主义理论类,0.4
销售代表,教育学类,0.4
销售代表,新闻传播学类,0.4
销售代表,历史学类,0.4
销售代表,档案学类,0.4
销售代表,法律类,0.4
销售专员,计算机与信息科学类,0.4
销售代表,政治学类,0.4
销售代表,经济管理类,0.8
销售代表,工商管理类,0.7
销售代表,社会学类,0.4
销售代表,财会、税务、审计与统计类,0.7
销售代表,环境与安全类,0.4
销售代表,建筑类,0.4
销售代表,海洋与渔业类,0.4
销售代表,生物类,0.4
销售代表,动物生产类,0.4
销售代表,植物生产类,0.4
销售代表,林业类,0.4
销售代表,农林业工程类,0.4
销售代表,水电类,0.4
销售代表,交通运输类,0.4
销售代表,艺术类,0.4
销售代表,公安类,0.4
销售代表,地质及测绘类,0.4
销售代表,药学类,0.4
销售代表,理化类,0.4
销售代表,轻工纺织品食品类,0.4
销售代表,大气科学类,0.4
销售代表,心理学类,0.4
销售代表,材料类,0.4
销售代表,机械与仪表类,0.4
销售代表,体育学类,0.4
销售代表,非汉语言文学类,0.4
大客户销售,文秘类,0.4
大客户销售,哲学、马克思主义理论类,0.4
大客户销售,教育学类,0.4
大客户销售,新闻传播学类,0.4
大客户销售,历史学类,0.4
大客户销售,档案学类,0.4
大客户销售,法律类,0.4
客户代表,计算机与信息科学类,0.4
大客户销售,政治学类,0.4
大客户销售,经济管理类,0.6
大客户销售,工商管理类,0.8
大客户销售,社会学类,0.4
大客户销售,财会、税务、审计与统计类,0.7
大客户销售,环境与安全类,0.4
大客户销售,建筑类,0.4
大客户销售,海洋与渔业类,0.4
大客户销售,生物类,0.4
大客户销售,动物生产类,0.4
大客户销售,植物生产类,0.4
大客户销售,林业类,0.4
大客户销售,农林业工程类,0.4
大客户销售,水电类,0.4
大客户销售,交通运输类,0.4
大客户销售,艺术类,0.4
大客户销售,公安类,0.4
大客户销售,地质及测绘类,0.4
大客户销售,药学类,0.4
大客户销售,理化类,0.4
大客户销售,轻工纺织品食品类,0.4
大客户销售,大气科学类,0.4
大客户销售,心理学类,0.4
大客户销售,材料类,0.4
大客户销售,机械与仪表类,0.4
大客户销售,体育学类,0.4
大客户销售,非汉语言文学类,0.4
电话销售,文秘类,0.6
电话销售,哲学、马克思主义理论类,0.4
电话销售,教育学类,0.4
电话销售,新闻传播学类,0.6
电话销售,历史学类,0.4
电话销售,档案学类,0.4
电话销售,法律类,0.4
渠道销售,计算机与信息科学类,0.4
电话销售,政治学类,0.4
电话销售,经济管理类,0.4
电话销售,工商管理类,0.4
电话销售,社会学类,0.4
电话销售,财会、税务、审计与统计类,0.4
电话销售,环境与安全类,0.4
电话销售,建筑类,0.4
电话销售,海洋与渔业类,0.4
电话销售,生物类,0.4
电话销售,动物生产类,0.4
电话销售,植物生产类,0.4
电话销售,林业类,0.4
电话销售,农林业工程类,0.4
电话销售,水电类,0.4
电话销售,交通运输类,0.4
电话销售,艺术类,0.6
电话销售,公安类,0.4
电话销售,地质及测绘类,0.4
电话销售,药学类,0.4
电话销售,理化类,0.4
电话销售,轻工纺织品食品类,0.4
电话销售,大气科学类,0.4
电话销售,心理学类,0.7
电话销售,材料类,0.4
电话销售,机械与仪表类,0.4
电话销售,体育学类,0.4
电话销售,非汉语言文学类,0.4
商品经理,文秘类,0.4
商品经理,哲学、马克思主义理论类,0.4
商品经理,教育学类,0.4
商品经理,新闻传播学类,0.4
商品经理,历史学类,0.4
商品经理,档案学类,0.4
商品经理,法律类,0.4
销售助理,计算机与信息科学类,0.4
商品经理,政治学类,0.4
商品经理,经济管理类,0.6
商品经理,工商管理类,0.8
商品经理,社会学类,0.4
商品经理,财会、税务、审计与统计类,0.7
商品经理,环境与安全类,0.4
商品经理,建筑类,0.4
商品经理,海洋与渔业类,0.4
商品经理,生物类,0.4
商品经理,动物生产类,0.4
商品经理,植物生产类,0.4
商品经理,林业类,0.4
商品经理,农林业工程类,0.4
商品经理,水电类,0.4
商品经理,交通运输类,0.4
商品经理,艺术类,0.4
商品经理,公安类,0.4
商品经理,地质及测绘类,0.4
商品经理,药学类,0.4
商品经理,理化类,0.4
商品经理,轻工纺织品食品类,0.4
商品经理,大气科学类,0.4
商品经理,心理学类,0.6
商品经理,材料类,0.4
商品经理,机械与仪表类,0.4
商品经理,体育学类,0.4
商品经理,非汉语言文学类,0.4
广告销售,文秘类,0.4
广告销售,哲学、马克思主义理论类,0.4
广告销售,教育学类,0.4
广告销售,新闻传播学类,0.8
广告销售,历史学类,0.4
广告销售,档案学类,0.4
广告销售,法律类,0.4
销售顾问,计算机与信息科学类,0.4
广告销售,政治学类,0.4
广告销售,经济管理类,0.6
广告销售,工商管理类,0.6
广告销售,社会学类,0.4
广告销售,财会、税务、审计与统计类,0.4
广告销售,环境与安全类,0.4
广告销售,建筑类,0.4
广告销售,海洋与渔业类,0.4
广告销售,生物类,0.4
广告销售,动物生产类,0.4
广告销售,植物生产类,0.4
广告销售,林业类,0.4
广告销售,农林业工程类,0.4
广告销售,水电类,0.4
广告销售,交通运输类,0.4
广告销售,艺术类,0.4
广告销售,公安类,0.4
广告销售,地质及测绘类,0.4
广告销售,药学类,0.4
广告销售,理化类,0.4
广告销售,轻工纺织品食品类,0.4
广告销售,大气科学类,0.4
广告销售,心理学类,0.4
广告销售,材料类,0.4
广告销售,机械与仪表类,0.4
广告销售,体育学类,0.4
广告销售,非汉语言文学类,0.4
销售总监,文秘类,0.4
销售总监,哲学、马克思主义理论类,0.4
销售总监,教育学类,0.4
销售总监,新闻传播学类,0.4
销售总监,历史学类,0.4
销售总监,档案学类,0.4
销售总监,法律类,0.4
营销主管,计算机与信息科学类,0.4
销售总监,政治学类,0.4
销售总监,经济管理类,0.8
销售总监,工商管理类,0.7
销售总监,社会学类,0.4
销售总监,财会、税务、审计与统计类,0.6
销售总监,环境与安全类,0.4
销售总监,建筑类,0.4
销售总监,海洋与渔业类,0.4
销售总监,生物类,0.4
销售总监,动物生产类,0.4
销售总监,植物生产类,0.4
销售总监,林业类,0.4
销售总监,农林业工程类,0.4
销售总监,水电类,0.4
销售总监,交通运输类,0.4
销售总监,艺术类,0.4
销售总监,公安类,0.4
销售总监,地质及测绘类,0.4
销售总监,药学类,0.4
销售总监,理化类,0.4
销售总监,轻工纺织品食品类,0.4
销售总监,大气科学类,0.4
销售总监,心理学类,0.6
销售总监,材料类,0.4
销售总监,机械与仪表类,0.4
销售总监,体育学类,0.4
销售总监,非汉语言文学类,0.4
市场营销,文秘类,0.4
市场营销,哲学、马克思主义理论类,0.4
市场营销,教育学类,0.4
市场营销,新闻传播学类,0.4
市场营销,历史学类,0.4
市场营销,档案学类,0.4
市场营销,法律类,0.4
商务总监,计算机与信息科学类,0.4
市场营销,政治学类,0.4
市场营销,经济管理类,0.6
市场营销,工商管理类,0.8
市场营销,社会学类,0.4
市场营销,财会、税务、审计与统计类,0.6
市场营销,环境与安全类,0.4
市场营销,建筑类,0.4
市场营销,海洋与渔业类,0.4
市场营销,生物类,0.4
市场营销,动物生产类,0.4
市场营销,植物生产类,0.4
市场营销,林业类,0.4
市场营销,农林业工程类,0.4
市场营销,水电类,0.4
市场营销,交通运输类,0.4
市场营销,艺术类,0.4
市场营销,公安类,0.4
市场营销,地质及测绘类,0.4
市场营销,药学类,0.4
市场营销,理化类,0.4
市场营销,轻工纺织品食品类,0.4
市场营销,大气科学类,0.4
市场营销,心理学类,0.6
市场营销,材料类,0.4
市场营销,机械与仪表类,0.4
市场营销,体育学类,0.4
市场营销,非汉语言文学类,0.4
市场总监,文秘类,0.4
市场总监,哲学、马克思主义理论类,0.4
市场总监,教育学类,0.4
市场总监,新闻传播学类,0.4
市场总监,历史学类,0.4
市场总监,档案学类,0.4
市场总监,法律类,0.4
城市经理,计算机与信息科学类,0.4
市场总监,政治学类,0.4
市场总监,经济管理类,0.7
市场总监,工商管理类,0.6
市场总监,社会学类,0.6
市场总监,财会、税务、审计与统计类,0.4
市场总监,环境与安全类,0.4
市场总监,建筑类,0.4
市场总监,海洋与渔业类,0.4
市场总监,生物类,0.4
市场总监,动物生产类,0.4
市场总监,植物生产类,0.4
市场总监,林业类,0.4
市场总监,农林业工程类,0.4
市场总监,水电类,0.4
市场总监,交通运输类,0.4
市场总监,艺术类,0.4
市场总监,公安类,0.4
市场总监,地质及测绘类,0.4
市场总监,药学类,0.4
市场总监,理化类,0.4
市场总监,轻工纺织品食品类,0.4
市场总监,大气科学类,0.4
市场总监,心理学类,0.6
市场总监,材料类,0.4
市场总监,机械与仪表类,0.4
市场总监,体育学类,0.4
市场总监,非汉语言文学类,0.4
seo,文秘类,0.4
seo,哲学、马克思主义理论类,0.4
seo,教育学类,0.4
seo,新闻传播学类,0.4
seo,历史学类,0.4
seo,档案学类,0.4
seo,法律类,0.4
招聘,计算机与信息科学类,0.4
seo,政治学类,0.4
seo,经济管理类,0.8
seo,工商管理类,0.7
seo,社会学类,0.4
seo,财会、税务、审计与统计类,0.4
seo,环境与安全类,0.4
seo,建筑类,0.4
seo,海洋与渔业类,0.4
seo,生物类,0.4
seo,动物生产类,0.4
seo,植物生产类,0.4
seo,林业类,0.4
seo,农林业工程类,0.4
seo,水电类,0.4
seo,交通运输类,0.4
seo,艺术类,0.4
seo,公安类,0.4
seo,地质及测绘类,0.4
seo,药学类,0.4
seo,理化类,0.4
seo,轻工纺织品食品类,0.4
seo,大气科学类,0.4
seo,心理学类,0.4
seo,材料类,0.4
seo,机械与仪表类,0.4
seo,体育学类,0.4
seo,非汉语言文学类,0.4
品牌经理,文秘类,0.6
品牌经理,哲学、马克思主义理论类,0.4
品牌经理,教育学类,0.4
品牌经理,新闻传播学类,0.4
品牌经理,历史学类,0.4
品牌经理,档案学类,0.4
品牌经理,法律类,0.6
人力资源专员,计算机与信息科学类,0.4
品牌经理,政治学类,0.4
品牌经理,经济管理类,0.6
品牌经理,工商管理类,0.4
品牌经理,社会学类,0.4
品牌经理,财会、税务、审计与统计类,0.7
品牌经理,环境与安全类,0.4
品牌经理,建筑类,0.4
品牌经理,海洋与渔业类,0.4
品牌经理,生物类,0.4
品牌经理,动物生产类,0.4
品牌经理,植物生产类,0.4
品牌经理,林业类,0.4
品牌经理,农林业工程类,0.4
品牌经理,水电类,0.4
品牌经理,交通运输类,0.4
品牌经理,艺术类,0.4
品牌经理,公安类,0.4
品牌经理,地质及测绘类,0.4
品牌经理,药学类,0.4
品牌经理,理化类,0.4
品牌经理,轻工纺织品食品类,0.4
品牌经理,大气科学类,0.4
品牌经理,心理学类,0.6
品牌经理,材料类,0.4
品牌经理,机械与仪表类,0.4
品牌经理,体育学类,0.4
品牌经理,非汉语言文学类,0.4
商务渠道,文秘类,0.4
商务渠道,哲学、马克思主义理论类,0.4
商务渠道,教育学类,0.4
商务渠道,新闻传播学类,0.4
商务渠道,历史学类,0.4
商务渠道,档案学类,0.4
商务渠道,法律类,0.4
人力资源经理,计算机与信息科学类,0.4
商务渠道,政治学类,0.4
商务渠道,经济管理类,0.8
商务渠道,工商管理类,0.7
商务渠道,社会学类,0.4
商务渠道,财会、税务、审计与统计类,0.6
商务渠道,环境与安全类,0.4
商务渠道,建筑类,0.4
商务渠道,海洋与渔业类,0.4
商务渠道,生物类,0.4
商务渠道,动物生产类,0.4
商务渠道,植物生产类,0.4
商务渠道,林业类,0.4
商务渠道,农林业工程类,0.4
商务渠道,水电类,0.4
商务渠道,交通运输类,0.4
商务渠道,艺术类,0.4
商务渠道,公安类,0.4
商务渠道,地质及测绘类,0.4
商务渠道,药学类,0.4
商务渠道,理化类,0.4
商务渠道,轻工纺织品食品类,0.4
商务渠道,大气科学类,0.4
商务渠道,心理学类,0.4
商务渠道,材料类,0.4
商务渠道,机械与仪表类,0.4
商务渠道,体育学类,0.4
商务渠道,非汉语言文学类,0.4
销售专员,文秘类,0.4
销售专员,哲学、马克思主义理论类,0.4
销售专员,教育学类,0.4
销售专员,新闻传播学类,0.6
销售专员,历史学类,0.4
销售专员,档案学类,0.4
销售专员,法律类,0.4
员工关系,计算机与信息科学类,0.4
销售专员,政治学类,0.4
销售专员,经济管理类,0.7
销售专员,工商管理类,0.8
销售专员,社会学类,0.4
销售专员,财会、税务、审计与统计类,0.6
销售专员,环境与安全类,0.4
销售专员,建筑类,0.4
销售专员,海洋与渔业类,0.4
销售专员,生物类,0.4
销售专员,动物生产类,0.4
销售专员,植物生产类,0.4
销售专员,林业类,0.4
销售专员,农林业工程类,0.4
销售专员,水电类,0.4
销售专员,交通运输类,0.4
销售专员,艺术类,0.4
销售专员,公安类,0.4
销售专员,地质及测绘类,0.4
销售专员,药学类,0.4
销售专员,理化类,0.4
销售专员,轻工纺织品食品类,0.4
销售专员,大气科学类,0.4
销售专员,心理学类,0.4
销售专员,材料类,0.4
销售专员,机械与仪表类,0.4
销售专员,体育学类,0.4
销售专员,非汉语言文学类,0.4
客户代表,文秘类,0.4
客户代表,哲学、马克思主义理论类,0.4
客户代表,教育学类,0.4
客户代表,新闻传播学类,0.4
客户代表,历史学类,0.4
客户代表,档案学类,0.4
客户代表,法律类,0.4
出纳,计算机与信息科学类,0.4
客户代表,政治学类,0.4
客户代表,经济管理类,0.6
客户代表,工商管理类,0.4
客户代表,社会学类,0.6
客户代表,财会、税务、审计与统计类,0.7
客户代表,环境与安全类,0.4
客户代表,建筑类,0.4
客户代表,海洋与渔业类,0.4
客户代表,生物类,0.4
客户代表,动物生产类,0.4
客户代表,植物生产类,0.4
客户代表,林业类,0.4
客户代表,农林业工程类,0.4
客户代表,水电类,0.4
客户代表,交通运输类,0.4
客户代表,艺术类,0.4
客户代表,公安类,0.4
客户代表,地质及测绘类,0.4
客户代表,药学类,0.4
客户代表,理化类,0.4
客户代表,轻工纺织品食品类,0.4
客户代表,大气科学类,0.4
客户代表,心理学类,0.4
客户代表,材料类,0.4
客户代表,机械与仪表类,0.4
客户代表,体育学类,0.4
客户代表,非汉语言文学类,0.4
bd经理,文秘类,0.4
bd经理,哲学、马克思主义理论类,0.4
bd经理,教育学类,0.4
bd经理,新闻传播学类,0.4
bd经理,历史学类,0.4
bd经理,档案学类,0.4
bd经理,法律类,0.4
税务,计算机与信息科学类,0.4
bd经理,政治学类,0.4
bd经理,经济管理类,0.7
bd经理,工商管理类,0.8
bd经理,社会学类,0.4
bd经理,财会、税务、审计与统计类,0.4
bd经理,环境与安全类,0.4
bd经理,建筑类,0.4
bd经理,海洋与渔业类,0.4
bd经理,生物类,0.4
bd经理,动物生产类,0.4
bd经理,植物生产类,0.4
bd经理,林业类,0.4
bd经理,农林业工程类,0.4
bd经理,水电类,0.4
bd经理,交通运输类,0.4
bd经理,艺术类,0.4
bd经理,公安类,0.4
bd经理,地质及测绘类,0.4
bd经理,药学类,0.4
bd经理,理化类,0.4
bd经理,轻工纺织品食品类,0.4
bd经理,大气科学类,0.4
bd经理,心理学类,0.4
bd经理,材料类,0.4
bd经理,机械与仪表类,0.4
bd经理,体育学类,0.4
bd经理,非汉语言文学类,0.4
渠道销售,文秘类,0.6
渠道销售,哲学、马克思主义理论类,0.4
渠道销售,教育学类,0.4
渠道销售,新闻传播学类,0.4
渠道销售,历史学类,0.4
渠道销售,档案学类,0.4
渠道销售,法律类,0.4
财务分析,计算机与信息科学类,0.4
渠道销售,政治学类,0.4
渠道销售,经济管理类,0.4
渠道销售,工商管理类,0.4
渠道销售,社会学类,0.6
渠道销售,财会、税务、审计与统计类,0.4
渠道销售,环境与安全类,0.4
渠道销售,建筑类,0.4
渠道销售,海洋与渔业类,0.4
渠道销售,生物类,0.4
渠道销售,动物生产类,0.4
渠道销售,植物生产类,0.4
渠道销售,林业类,0.4
渠道销售,农林业工程类,0.4
渠道销售,水电类,0.4
渠道销售,交通运输类,0.4
渠道销售,艺术类,0.4
渠道销售,公安类,0.4
渠道销售,地质及测绘类,0.4
渠道销售,药学类,0.4
渠道销售,理化类,0.4
渠道销售,轻工纺织品食品类,0.4
渠道销售,大气科学类,0.4
渠道销售,心理学类,0.4
渠道销售,材料类,0.7
渠道销售,机械与仪表类,0.4
渠道销售,体育学类,0.4
渠道销售,非汉语言文学类,0.4
销售助理,文秘类,0.6
销售助理,哲学、马克思主义理论类,0.4
销售助理,教育学类,0.4
销售助理,新闻传播学类,0.4
销售助理,历史学类,0.4
销售助理,档案学类,0.4
销售助理,法律类,0.4
法务专员,计算机与信息科学类,0.4
销售助理,政治学类,0.4
销售助理,经济管理类,0.6
销售助理,工商管理类,0.6
销售助理,社会学类,0.4
销售助理,财会、税务、审计与统计类,0.6
销售助理,环境与安全类,0.4
销售助理,建筑类,0.4
销售助理,海洋与渔业类,0.4
销售助理,生物类,0.4
销售助理,动物生产类,0.4
销售助理,植物生产类,0.4
销售助理,林业类,0.4
销售助理,农林业工程类,0.4
销售助理,水电类,0.4
销售助理,交通运输类,0.4
销售助理,艺术类,0.4
销售助理,公安类,0.4
销售助理,地质及测绘类,0.4
销售助理,药学类,0.4
销售助理,理化类,0.4
销售助理,轻工纺织品食品类,0.4
销售助理,大气科学类,0.4
销售助理,心理学类,0.4
销售助理,材料类,0.4
销售助理,机械与仪表类,0.4
销售助理,体育学类,0.4
销售助理,非汉语言文学类,0.4
销售顾问,文秘类,0.6
销售顾问,哲学、马克思主义理论类,0.4
销售顾问,教育学类,0.4
销售顾问,新闻传播学类,0.4
销售顾问,历史学类,0.4
销售顾问,档案学类,0.4
销售顾问,法律类,0.7
法律顾问,计算机与信息科学类,0.4
销售顾问,政治学类,0.4
销售顾问,经济管理类,0.4
销售顾问,工商管理类,0.4
销售顾问,社会学类,0.4
销售顾问,财会、税务、审计与统计类,0.4
销售顾问,环境与安全类,0.4
