序号,小区名称,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
543,烟台市莱州市文昌路街道文景社区文景凤凰城,119.94234563203973,37.165984617450775,1,70,地产小区,bd09,,删除
544,烟台市莱州市文昌路街道文景社区文景家园（二层楼）,119.94063939055408,37.1680432951784,1,70,地产小区,bd09,,删除
545,烟台市莱州市文昌路街道文景社区弘宇家属楼,119.94898752331942,37.17449704677348,0,50,NoClass,bd09,,删除
546,烟台市莱州市文昌路街道崇文社区教育路八区,119.96494124951552,37.190849241943546,1,70,地产小区,bd09,,删除
547,烟台市莱州市文昌路街道崇文社区教育路九区,119.96752648294269,37.1917347578305,1,70,地产小区,bd09,,删除
548,烟台市莱州市文昌路街道崇文社区教育路十区,119.96513699028614,37.19180641221695,1,70,地产小区,bd09,,删除
549,烟台市莱州市文昌路街道崇文社区慢性病院,119.96524676321947,37.18785597552909,1,70,医疗,bd09,,删除
550,烟台市莱州市文昌路街道崇文社区东辉公寓,119.96419951865593,37.18924291052189,1,70,地产小区,bd09,,删除
551,烟台市莱州市文昌路街道崇文社区嘉乐园,119.9640530948578,37.18747533115817,1,70,地产小区,bd09,,删除
552,烟台市莱州市文昌路街道崇文社区中保公司,119.94922117258255,37.175277587152316,0,25,乡镇,bd09,,删除
553,烟台市莱州市文昌路街道崇文社区文渊公寓,119.9652985954474,37.18889418471333,1,70,地产小区,bd09,,删除
554,烟台市莱州市文昌路街道崇文社区烟信,119.96851991900617,37.20274565844475,0,50,NoClass,bd09,,删除
555,烟台市莱州市文昌路街道崇文社区文馨,119.9675819982232,37.19015618783072,1,70,地产小区,bd09,,删除
556,烟台市莱州市文昌路街道崇文社区银资,119.96161500387316,37.18693411708003,1,75,购物,bd09,,删除
557,烟台市莱州市文昌路街道崇文社区中医院,119.94922117258255,37.175277587152316,0,25,乡镇,bd09,,删除
558,烟台市莱州市文昌路街道汇泉社区（A区）,119.9531783880151,37.20325937995183,1,70,地产小区,bd09,,删除
559,烟台市莱州市文昌路街道汇泉社区（B区路南）,119.9531783880151,37.20325937995183,1,70,地产小区,bd09,,删除
560,烟台市莱州市文昌路街道汇泉社区（B区路北）,119.9531783880151,37.20325937995183,1,70,地产小区,bd09,,删除
561,烟台市莱州市文昌路街道汇泉社区C区,119.9531783880151,37.20325937995183,1,70,地产小区,bd09,,删除
562,烟台市莱州市文昌路街道汇泉社区金都家园,119.95495775156927,37.20032539273789,1,70,地产小区,bd09,,删除
563,烟台市莱州市文昌路街道汇泉社区安居,119.9531783880151,37.20325937995183,1,70,地产小区,bd09,,删除
564,烟台市莱州市文昌路街道汇泉社区生资,119.9531783880151,37.20325937995183,1,70,地产小区,bd09,,删除
565,烟台市莱州市文昌路街道汇泉社区建行家属楼,119.94694405794532,37.19794780788949,1,70,金融,bd09,,删除
566,烟台市莱州市文昌路街道汇泉社区商检家属楼,119.9531783880151,37.20325937995183,1,70,地产小区,bd09,,删除
567,烟台市莱州市文昌路街道汇泉社区残联家属楼,119.94896219110403,37.20000912836368,1,70,政府机构,bd09,,删除
568,烟台市莱州市文昌路街道汇泉社区啤酒厂家属楼,119.9531783880151,37.20325937995183,1,70,地产小区,bd09,,删除
569,烟台市莱州市文昌路街道汇泉社区奥城,119.9531783880151,37.20325937995183,1,70,地产小区,bd09,,删除
570,烟台市莱州市文昌路街道汇泉社区仓上金矿家属楼,119.95188922977773,37.20222323835628,0,50,NoClass,bd09,,删除
571,烟台市莱州市文昌路街道鼓楼社区食品厂平房,120.04012448002037,37.164078304052296,0,50,旅游景点,bd09,,删除
572,烟台市莱州市文昌路街道鼓楼社区鼓楼公寓,119.94848303494501,37.177142210416804,1,70,地产小区,bd09,,删除
573,烟台市莱州市文昌路街道鼓楼社区粮食局楼,119.95155299402536,37.19536496880467,1,70,政府机构,bd09,,删除
574,烟台市莱州市文昌路街道鼓楼社区鸿德园楼,119.94847539934818,37.17569502698797,1,70,地产小区,bd09,,删除
575,烟台市莱州市文昌路街道鼓楼社区阳光大厦,120.04012448002037,37.164078304052296,0,50,旅游景点,bd09,,删除
576,烟台市莱州市文昌路街道鼓楼社区材机厂平房,120.04012448002037,37.164078304052296,0,50,旅游景点,bd09,,删除
577,烟台市莱州市文昌路街道鼓楼社区百大宿舍楼,120.04012448002037,37.164078304052296,0,50,旅游景点,bd09,,删除
578,烟台市莱州市文昌路街道鼓楼社区展销楼,120.04012448002037,37.164078304052296,0,50,旅游景点,bd09,,删除
579,烟台市莱州市文昌路街道鼓楼社区市联社,120.04012448002037,37.164078304052296,0,50,旅游景点,bd09,,删除
580,烟台市莱州市文昌路街道鼓楼社区粮贸,120.04012448002037,37.164078304052296,0,50,旅游景点,bd09,,删除
581,烟台市莱州市文昌路街道鼓楼社区电信宿舍楼,120.04012448002037,37.164078304052296,0,50,旅游景点,bd09,,删除
582,烟台市莱州市文昌路街道鼓楼社区三院宿舍,119.97773096404438,37.18462870253288,1,70,医疗,bd09,,删除
583,烟台市莱州市文昌路街道鼓楼社区材机厂家属院,120.04012448002037,37.164078304052296,0,50,旅游景点,bd09,,删除
584,烟台市莱州市文昌路街道鼓楼社区植物油厂楼,120.04012448002037,37.164078304052296,0,50,旅游景点,bd09,,删除
585,烟台市莱州市文昌路街道鼓楼社区银资百大,119.96161500387316,37.18693411708003,1,75,购物,bd09,,删除
586,烟台市莱州市文昌路街道鼓楼社区梅苑华庭,119.94672469173977,37.178834269669444,1,70,地产小区,bd09,,删除
587,烟台市莱州市文昌路街道鼓楼社区福莱新城,119.9474881615927,37.17907284702106,1,70,地产小区,bd09,,删除
588,烟台市莱州市文昌路街道鼓楼社区金地佳园,119.9429143492581,37.17593986835092,1,70,地产小区,bd09,,删除
589,烟台市莱州市文昌路街道教育路社区教育路1-7区,119.96106065954297,37.19132603184942,1,70,地产小区,bd09,,删除
590,烟台市莱州市文昌路街道教育路社区教育路小区北区,119.96065246951925,37.19372078791775,1,70,地产小区,bd09,,删除
591,烟台市莱州市文昌路街道教育路社区农机局3号楼,119.95514540759031,37.19109324318671,1,70,政府机构,bd09,,删除
592,烟台市莱州市文昌路街道教育路社区洲元大厦,119.96161033268451,37.193228561517216,1,75,商务大厦,bd09,,删除
593,烟台市莱州市文昌路街道教育路社区实验中学,119.95789296482313,37.19393646384759,1,70,教育,bd09,,删除
594,烟台市莱州市文昌路街道教育路社区邮政局,119.9307837214819,37.18042565752285,1,70,生活服务,bd09,,删除
595,烟台市莱州市文昌路街道教育路社区复合材料长,119.77668111802566,37.03297197206211,0,30,道路,bd09,,删除
596,烟台市莱州市文昌路街道教育路社区电机厂家属楼,119.77668111802566,37.03297197206211,0,30,道路,bd09,,删除
597,烟台市莱州市文昌路街道教育路社区维特公寓,119.95683718635726,37.18889519093193,1,70,地产小区,bd09,,删除
598,烟台市莱州市文昌路街道教育路社区农机局,119.95514540759031,37.19109324318671,1,70,政府机构,bd09,,删除
599,烟台市莱州市文昌路街道教育路社区党校家属楼,119.96060692542989,37.18706809128788,0,50,NoClass,bd09,,删除
600,烟台市莱州市文昌路街道教育路社区开建宝地,119.9579401258624,37.18735098882766,1,70,地产小区,bd09,,删除
601,烟台市莱州市永安路街道河滨社区电业局南家属区,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
602,烟台市莱州市永安路街道河滨社区水利局家属区,119.93506333876199,37.18120282963525,1,70,政府机构,bd09,,删除
603,烟台市莱州市永安路街道河滨社区体委,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
604,烟台市莱州市永安路街道河滨社区塑料厂,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
605,烟台市莱州市永安路街道河滨社区电业局大原家家属区,119.92856257127794,37.180526290696335,0,50,村庄,bd09,,删除
606,烟台市莱州市永安路街道河滨社区河滨公寓,119.93692723286465,37.177708151308174,1,70,地产小区,bd09,,删除
607,烟台市莱州市永安路街道河滨社区部队南北院,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
608,烟台市莱州市永安路街道河滨社区运输公司家属区,119.94199286746597,37.18668068667286,0,50,NoClass,bd09,,删除
609,烟台市莱州市永安路街道河滨社区建委楼家属区,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
610,烟台市莱州市永安路街道河滨社区宏达家园,119.93307899223895,37.17981010842715,1,70,地产小区,bd09,,删除
611,烟台市莱州市永安路街道河滨社区慧丰苑,119.93120041363493,37.17977870794604,1,70,地产小区,bd09,,删除
612,烟台市莱州市永安路街道河滨社区发电厂家属区,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
613,烟台市莱州市永安路街道河滨社区大原家家属区,119.92856257127794,37.180526290696335,0,50,村庄,bd09,,删除
614,烟台市莱州市永安路街道河滨社区河西平房区,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
615,烟台市莱州市永安路街道景阳社区老区,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
616,烟台市莱州市永安路街道景阳社区新区,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
617,烟台市莱州市永安路街道景阳社区阳光,119.97491001525141,37.22906408228801,0,50,NoClass,bd09,,删除
618,烟台市莱州市永安路街道景阳社区印刷厂,119.95031485954095,37.18073251639868,0,50,NoClass,bd09,,删除
619,烟台市莱州市永安路街道景阳社区山水国际,119.94522757577684,37.17472233896482,1,70,地产小区,bd09,,删除
620,烟台市莱州市永安路街道武安社区食品厂,119.93965502737625,37.18013525817836,0,50,NoClass,bd09,,删除
621,烟台市莱州市永安路街道武安社区艺品厂,119.93965502737625,37.18013525817836,0,50,NoClass,bd09,,删除
622,烟台市莱州市永安路街道武安社区材机厂,119.93965502737625,37.18013525817836,0,50,NoClass,bd09,,删除
623,烟台市莱州市永安路街道武安社区摇臂厂,119.93965502737625,37.18013525817836,0,50,NoClass,bd09,,删除
624,烟台市莱州市永安路街道武安社区新世纪宿舍,119.9457266743182,37.18697681060361,1,75,宾馆,bd09,,删除
625,烟台市莱州市永安路街道武安社区莱州中学,119.93802298592573,37.17235292706428,1,70,教育,bd09,,删除
626,烟台市莱州市永安路街道武安社区姜家胡同,119.93965502737625,37.18013525817836,0,50,NoClass,bd09,,删除
627,烟台市莱州市永安路街道泛华社区广场花园,119.93974683419937,37.20202993481318,1,70,地产小区,bd09,,删除
628,烟台市莱州市永安路街道泛华社区泛华中区,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
629,烟台市莱州市永安路街道泛华社区馨园北区,119.93855370482102,37.18747087496261,0,50,NoClass,bd09,,删除
630,烟台市莱州市永安路街道泛华社区泛华南区,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
631,烟台市莱州市永安路街道泛华棉纺厂1号、2号楼,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
632,烟台市莱州市永安路街道西苑社区永安公寓,119.93830137080327,37.18261195465396,1,70,地产小区,bd09,,删除
633,烟台市莱州市永安路街道西苑社区人民银行平房,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
634,烟台市莱州市永安路街道西苑社区馨园小区,119.93940161539189,37.183425114968585,1,70,地产小区,bd09,,删除
635,烟台市莱州市永安路街道西苑社区文盛公寓,119.93827010977152,37.186631739861795,1,70,地产小区,bd09,,删除
636,烟台市莱州市永安路街道西苑社区霸力大厦,119.93939514759222,37.18645428045034,1,75,商务大厦,bd09,,删除
637,烟台市莱州市永安路街道西苑社区市联社、馨园亭子,119.93608336466858,37.18745650013642,0,50,旅游景点,bd09,,删除
638,烟台市莱州市永安路街道西苑社区化工厂、建发楼,119.94585836590596,37.20696153412423,0,50,NoClass,bd09,,删除
639,烟台市莱州市永安路街道西苑社区水利局3#,119.93506333876199,37.18120282963525,1,70,政府机构,bd09,,删除
640,烟台市莱州市永安路街道西苑社区福嘉苑小区,119.93386679582271,37.1823613129005,1,70,地产小区,bd09,,删除
641,烟台市莱州市永安路街道西苑社区玻璃厂宿舍楼,119.9484011094825,37.175043742191285,1,75,购物,bd09,,删除
642,烟台市莱州市永安路街道西苑社区大骋楼,119.92385742667778,37.17614984470148,0,50,NoClass,bd09,,删除
643,烟台市莱州市永安路街道西苑社区百大宿舍楼,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
644,烟台市莱州市永安路街道西苑社区水泥厂,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
645,烟台市莱州市永安路街道西苑社区化轻楼,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
646,烟台市莱州市永安路街道西苑社区印染厂平房,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
647,烟台市莱州市永安路街道光安社区花旗绿城,119.9452822825824,37.19841449167719,1,70,地产小区,bd09,,删除
648,烟台市莱州市永安路街道光安社区公安小区,119.94238758290705,37.19808830200607,1,70,地产小区,bd09,,删除
649,烟台市莱州市永安路街道光安社区广场公寓,119.94573026754024,37.19730907734813,1,70,地产小区,bd09,,删除
650,烟台市莱州市永安路街道光安社区安全局,119.94337544947638,37.19680365135435,1,70,地产小区,bd09,,删除
651,烟台市莱州市永安路街道金都社区商业大厦住宅,119.94542814245129,37.1819795761209,1,75,商务大厦,bd09,,删除
652,烟台市莱州市永安路街道金都社区 大骋住宅,119.92385742667778,37.17614984470148,0,50,NoClass,bd09,,删除
653,烟台市莱州市永安路街道金都社区水产住宅,119.95495775156927,37.20032539273789,1,70,地产小区,bd09,,删除
654,烟台市莱州市永安路街道金都社区新平家园住宅,119.94502249262892,37.190547168021524,1,70,地产小区,bd09,,删除
655,烟台市莱州市永安路街道金都社区金都花园住宅,119.94588915011714,37.190674584847855,1,70,地产小区,bd09,,删除
656,烟台市莱州市永安路街道金都社区汽车六场住宅,119.95495775156927,37.20032539273789,1,70,地产小区,bd09,,删除
657,烟台市莱州市永安路街道金都社区部队公寓住宅,119.95495775156927,37.20032539273789,1,70,地产小区,bd09,,删除
658,烟台市莱州市永安路街道金都社区 丝绸公司住宅,119.95495775156927,37.20032539273789,1,70,地产小区,bd09,,删除
659,烟台市莱州市永安路街道金都社区美乐家园住宅,119.94586384556956,37.193826002777556,1,70,地产小区,bd09,,删除
660,烟台市莱州市永安路街道金都社区金矿住宅,119.95495775156927,37.20032539273789,1,70,地产小区,bd09,,删除
661,烟台市莱州市永安路街道金都社区建发小区住宅,119.94991780850555,37.221079718061105,1,70,地产小区,bd09,,删除
662,烟台市莱州市永安路街道金都社区十家巷住宅,119.95495775156927,37.20032539273789,1,70,地产小区,bd09,,删除
663,烟台市莱州市永安路街道金都社区新安家园住宅,119.94317377988939,37.19262953436692,1,70,地产小区,bd09,,删除
664,烟台市莱州市永安路街道金都社区酒厂住宅,119.95495775156927,37.20032539273789,1,70,地产小区,bd09,,删除
665,烟台市莱州市永安路街道金都社区商业系统住宅,119.95495775156927,37.20032539273789,1,70,地产小区,bd09,,删除
666,烟台市莱州市永安路街道金都社区食品公司住宅,119.9534927949436,37.19322575864189,0,50,NoClass,bd09,,删除
667,烟台市莱州市永安路街道金都社区行星住宅,119.95495775156927,37.20032539273789,1,70,地产小区,bd09,,删除
668,烟台市莱州市永安路街道金都社区银资家园住宅,119.94448395847569,37.19211696167878,1,70,地产小区,bd09,,删除
669,烟台市莱州市程郭镇英才社区福莱美景小区,119.9778403776555,37.20236573652205,1,70,地产小区,bd09,,删除
670,烟台市莱州市程郭镇英才社区文汇小区,119.97192791044992,37.200701013333784,1,70,地产小区,bd09,,删除
671,烟台市莱州市程郭镇坊苑东区,119.9675730151681,37.20198954940023,1,70,地产小区,bd09,,删除
672,烟台市莱州市程郭镇坊苑西区,119.96581521094618,37.202104238167266,1,70,地产小区,bd09,,删除
673,烟台市莱州市程郭镇东苑新区,119.98257741210126,37.19626343896513,1,70,地产小区,bd09,,删除
674,烟台市莱州市程郭镇东苑南区,119.98032859408758,37.198763532454,1,70,地产小区,bd09,,删除
675,烟台市莱州市程郭镇东苑北区,119.98108797559944,37.20052251980429,1,70,地产小区,bd09,,删除
676,长岛县南长山街道瀛洲小区,120.75216795945431,37.91635001915946,1,70,地产小区,bd09,,删除
677,长岛县南长山街道泰和水岸,120.74404835561073,37.927784080419514,1,70,地产小区,bd09,,删除
678,长岛县南长山街道党校小区,120.73758873051904,37.94152629258075,0,25,乡镇,bd09,,删除
679,长岛县南长山街道翠海茗居,120.7409125507365,37.9212502456613,1,70,地产小区,bd09,,删除
680,长岛县南长山街道悦海假日,120.74088200834916,37.92100700702628,1,75,宾馆,bd09,,删除
681,长岛县南长山街道阳光小区,120.73758873051904,37.94152629258075,0,25,乡镇,bd09,,删除
682,长岛县南长山街道闻涛花园,120.74306210599131,37.93348820060591,1,70,地产小区,bd09,,删除
683,长岛县南长山街道聚仙假日,120.73758873051904,37.94152629258075,0,25,乡镇,bd09,,删除
